ProductID,ProductName,Description,UnitPrice,QuantityInStock,Manufacturer,CategoryID,Weight,Dimensions,ReleaseDate
1,Smartphone X,High-end smartphone with advanced features,799,1500,ABC Electronics,1,0.2,5.7x2.8x0.3 inches,2023-01-15
2,Laptop Pro,Powerful laptop for professional use,1499,800,XYZ Technologies,2,2.5,14.1x9.7x0.8 inches,2022-11-30
3,Smart TV 55",Ultra HD smart TV with built-in streaming apps,999,600,ABC Electronics,3,28.5,48.5x29.5x2.5 inches,2023-03-20
4,Wireless Headphones,Bluetooth headphones with noise cancellation,199,1200,SoundTech Inc.,4,0.5,7.2x6.9x3.1 inches,2023-02-10
5,Tablet Mini,Compact tablet for on-the-go use,399,1000,Global Mobile,1,0.7,8.4x5.3x0.4 inches,2023-04-05
6,Home Security Camera,Indoor/outdoor security camera with HD resolution,129,2000,SecureTech,5,0.3,3.7x2.5x2.5 inches,2023-01-30
7,Gaming Console,Next-gen gaming console with 4K support,499,500,GameTech Ltd.,6,4.8,15.4x11.3x2.6 inches,2022-12-20
8,Smartwatch Pro,Advanced smartwatch with health tracking features,349,900,Wearables Inc.,7,0.1,1.6x1.4x0.4 inches,2023-05-10
9,Wireless Earbuds,True wireless earbuds with long battery life,149,1800,SoundTech Inc.,4,0.03,2.1x1.8x1.3 inches,2023-03-01
10,Desktop Monitor 27",High-resolution monitor for immersive viewing,299,700,DisplayTech,8,12,24.5x15.2x1.8 inches,2023-02-25
11,Smart Speaker,Voice-controlled smart speaker with virtual assistant,79,2500,HomeTech Ltd.,9,2.2,5.6x3.9x3.9 inches,2023-04-20
12,Portable Bluetooth Speaker,Compact speaker with wireless connectivity,49,3000,AudioTech,4,0.6,6.1x3.2x3.0 inches,2023-01-10
13,External Hard Drive 2TB,High-capacity external storage for data backup,89,1000,Storage Solutions,10,0.5,4.7x3.1x0.6 inches,2023-03-15
14,Printer All-in-One,Multi-function printer for printing, scanning, and copying,199,800,PrintTech Inc.,11,14,16.4x15.3x9.4 inches,2023-05-05
15,Wireless Router Dual Band,Dual-band router for high-speed internet connectivity,129,1200,Connectivity Solutions,12,0.4,8.9x6.6x2.6 inches,2023-02-28
16,External SSD 500GB,Portable solid-state drive for fast data transfer,149,1500,Storage Solutions,10,0.1,3.9x2.3x0.3 inches,2023-04-10
